make,model,manufacturedYear,registeredYear,mileage,previousOwners,exteriorColor,fuelType,condition,transmission,bodyType,engineCapacity,value,,
Toyota,prius,2012,2014,115000,2,Pearl White,Hybrid,used,Automatic,Saloon,1800,8575000,,
Toyota,prius,2011,2013,215000,3,Blue,Petrol,used,Automatic,Saloon,1790,8155000,,
Toyota,prius,2012,2013,120000,2,Light Blue,Hybrid,used,Automatic,Hatchback,1790,8900000,,
Toyota,prius,2012,2014,133000,2,white,Petrol,used,Automatic,Saloon,1800,8530000,,
Toyota,prius,2013,2015,89000,1,silver,Hybrid,used,Automatic,Saloon,1800,9375000,,
Toyota,prius,2013,2014,180000,3,silver,Hybrid,used,Automatic,Hatchback,1800,9200000,,
Toyota,Axio,2016,2017,104000,1,Brown,Hybrid,used,Automatic,Saloon,1500,11290000,,
Toyota,Axio,2015,2016,150000,1,white,Hybrid,used,Automatic,Saloon,1500,10600000,,
Toyota,Axio,2017,2018,87127,1,white,Hybrid,used,Automatic,Saloon,1490,13190000,,
Toyota,Axio,2017,2017,77500,1,white,Hybrid,used,Automatic,sedan,1490,13300000,,
Toyota,Axio,2014,2015,126000,2,Wine Red,Hybrid,used,Automatic,Saloon,1500,9290000,,
Toyota,Axio,2011,2013,140000,2,Gray,Petrol,used,Automatic,Saloon,1500,7950000,,
Toyota,Axio,2014,2014,151000,2,Wine Red,Hybrid,used,Automatic,saloon,1450,9275000,,
Toyota,Axio,2019,2019,50000,2,white,Hybrid,used,Automatic,saloon,1490,15990000,,
Toyota,Axio,2015,2016,160000,2,Wine Red,Petrol,used,Automatic,Saloon,1500,11650000,,
Toyota,Axio,2017,2018,98000,1,white,Petrol,used,Automatic,Saloon,1500,14950000,,
Toyota,Aqua,2013,2014,181000,3,Blue,Hybrid,used,Automatic,Hatchback,1500,6750000,,
Toyota,Aqua,2013,2013,140000,2,silver,Hybrid,used,Automatic,Hatchback,1500,6900000,,
Toyota,Aqua,2013,2015,115000,2,silver,Hybrid,used,Automatic,Hatchback,1499,6950000,,
Toyota,Aqua,2015,2016,98000,1,silver,Petrol,used,Automatic,Hatchback,1500,9075000,,
Toyota,Aqua,2013,2014,135000,2,white,Hybrid,used,Automatic,Hatchback,1500,7950000,,
Toyota,Aqua,2015,2016,87000,1,white,Hybrid,used,Automatic,Hatchback,1000,8790000,,
Toyota,Aqua,2013,2015,104000,1,Black,Hybrid,used,Automatic,Hatchback,1500,7550000,,
Toyota,Aqua,2014,2015,139000,2,Light Blue,Hybrid,used,Automatic,Hatchback,1500,7375000,,
Toyota,Aqua,2012,2013,147000,2,Orange,Petrol,used,Automatic,Hatchback,1490,6575000,,
Toyota,Aqua,2012,2013,136000,2,Red,Hybrid,used,Automatic,Hatchback,1500,6600000,,
Toyota,Aqua,2012,2014,106000,1,Black,Hybrid,used,Automatic,Hatchback,1500,6875000,,
Toyota,Aqua,2013,2015,123000,2,Light Blue,Petrol,used,Automatic,Hatchback,1500,7475000,,
Toyota,Aqua,2013,2015,109000,2,Black,Petrol,used,Automatic,Hatchback,1500,7275000,,
Toyota,Aqua,2013,2014,152000,3,white,Hybrid,used,Automatic,Hatchback,1500,6990000,,
Toyota,Aqua,2014,2015,59000,1,Orange,Hybrid,used,Automatic,Hatchback,1500,7790000,,
Toyota,Aqua,2014,2016,130000,2,Light Blue,Hybrid,used,Automatic,Hatchback,1500,7480000,,
Toyota,Aqua,2015,2016,116000,2,white,Petrol,used,Automatic,Hatchback,1500,8750000,,
Toyota,Aqua,2015,2017,117000,2,white,Hybrid,used,Automatic,Hatchback,1500,8990000,,
Toyota,Aqua,2015,2016,140000,2,Black,Petrol,used,Automatic,Hatchback,1500,9050000,,
Toyota,Aqua,2015,2016,89000,1,white,Hybrid,used,Automatic,Hatchback,1500,9090000,,
Toyota,Premio,2013,2013,96000,1,white,Petrol,used,Automatic,Saloon,1500,10975000,,
Toyota,Premio,2012,2013,178000,2,Black,Petrol,used,Automatic,Saloon,1500,12900000,,
Toyota,Premio,2018,2018,84000,1,Light Green,Petrol,used,Automatic,Saloon,1500,17950000,,
Toyota,Premio,2014,2014,238600,3,Dark Red,Petrol,used,Automatic,Saloon,1500,12500000,,
Toyota,Premio,2014,2015,70000,1,white,Petrol,used,Automatic,Saloon,1500,12475000,,
Toyota,Premio,2019,2019,50000,1,Pearl White,Petrol,used,Automatic,Saloon,1500,19400000,,
Toyota,Premio,2019,2019,38500,1,Pearl White,Petrol,used,Automatic,Saloon,1490,18450000,,
Toyota,Premio,2013,2014,165000,3,white,Petrol,used,Automatic,Saloon,1500,12390000,,
Toyota,Premio,2018,2019,78000,1,Pearl White,Petrol,used,Automatic,Saloon,1500,18550000,,
Toyota,Premio,2016,2016,95000,1,white,Petrol,used,Automatic,Saloon,1500,16200000,,
Toyota,Premio,2018,2018,52000,1,white,Petrol,used,Automatic,Saloon,1500,18000000,,
Toyota,Premio,2014,2015,130000,2,Blue,Petrol,used,Automatic,Saloon,1500,12300000,,
Toyota,Premio,2010,2011,130000,2,Pearl White,Petrol,used,Automatic,Saloon,1790,10450000,,
Toyota,Premio,2011,2011,160000,3,Black,Petrol,used,Automatic,Saloon,1490,11000000,,
Toyota,Premio,2019,2019,60000,1,Pearl White,Petrol,used,Automatic,Saloon,1500,19000000,,
Toyota,Premio,2014,2015,110000,2,Black,Petrol,used,Automatic,Saloon,1500,13400000,,
Toyota,Premio,2013,2013,136000,2,Pearl White,Petrol,used,Automatic,Saloon,1500,12450000,,
Toyota,Premio,2017,2017,131000,2,Red,Petrol,used,Automatic,Saloon,1500,16500000,,
Toyota,Premio,2014,2015,158000,3,Gray,Petrol,used,Automatic,Saloon,1500,12200000,,
Toyota,Premio,2013,2014,100000,2,Brown,Petrol,used,Automatic,Saloon,1500,12975000,,
Toyota,Vitz,2017,2018,84000,1,Black,Petrol,used,Automatic,Hatchback,1000,8390000,,
Toyota,Vitz,2017,2017,65000,1,white,Petrol,used,Automatic,Hatchback,1000,7990000,,
Toyota,Vitz,2016,2018,67000,1,Light blue,Petrol,used,Automatic,Hatchback,1000,7690000,,
Toyota,Vitz,2019,2020,31000,1,white,Petrol,used,Automatic,Hatchback,1000,9590000,,
Toyota,Vitz,2015,2019,55000,1,Red,Petrol,used,Automatic,Hatchback,1000,7500000,,
Toyota,Vitz,2015,2018,80000,1,Brown,Petrol,used,Automatic,Hatchback,990,7450000,,
Toyota,Vitz,2017,2020,90000,1,Gray,Petrol,used,Automatic,Hatchback,1000,8250000,,
Toyota,Vitz,2015,2015,30000,1,Black,Petrol,used,Automatic,Hatchback,1000,7790000,,
Toyota,Vitz,2018,2019,45000,1,Black,Petrol,used,Automatic,Hatchback,1000,9390000,,
Toyota,Vitz,2018,2019,25000,1,white,Petrol,used,Automatic,Hatchback,1000,9390000,,
Toyota,Vitz,2015,2018,49000,1,Red,Petrol,used,Automatic,Hatchback,1000,7990000,,
Toyota,Vitz,2008,2011,113000,2,white,Petrol,used,Automatic,Hatchback,990,5690000,,
Toyota,Vitz,2019,2020,42000,1,white,Petrol,used,Automatic,Hatchback,1000,9575000,,
Toyota,Vitz,2016,2019,68000,1,Black,Petrol,used,Automatic,Hatchback,1000,7750000,,
Toyota,Vitz,2007,2007,127000,2,silver,Petrol,used,Automatic,Hatchback,1000,5075000,,
Toyota,Vitz,2015,2018,120000,2,Blue,Petrol,used,Automatic,Hatchback,1000,7150000,,
Toyota,Vitz,2007,2011,151000,3,Black,Petrol,used,Automatic,Hatchback,1000,5350000,,
Toyota,Vitz,2008,2011,115000,2,Light Blue,Petrol,used,Automatic,Hatchback,1000,5690000,,
Toyota,Vitz,2007,2010,171000,3,silver,Petrol,used,Automatic,Hatchback,1000,4915000,,
Toyota,Vitz,2016,2018,67000,1,Light Blue,Petrol,used,Automatic,Hatchback,1000,7690000,,
Toyota,Vitz,2019,2020,31000,1,white,Petrol,used,Automatic,Hatchback,1000,9590000,,
Toyota,Vitz,2015,2019,55000,1,Red,Petrol,used,Automatic,Hatchback,1000,7500000,,
Toyota,Vitz,2015,2018,80000,1,Brown,Petrol,used,Automatic,Hatchback,990,7450000,,
Toyota,Vitz,2017,2020,90000,1,Gray,Petrol,used,Automatic,Hatchback,1000,8250000,,
Toyota,Vitz,2007,2010,156860,3,silver,Petrol,used,Automatic,Hatchback,1000,4890000,,
Toyota,Vitz,2007,2011,133000,3,Red,Petrol,used,Automatic,Hatchback,1000,5150000,,
Toyota,Vitz,2008,2010,145000,2,Red,Petrol,used,Automatic,Hatchback,1000,5175000,,
Toyota,Vitz,2015,2015,30000,1,Black,Petrol,used,Automatic,Hatchback,1000,7790000,,
Toyota,Vitz,2018,2019,45000,1,Black,Petrol,used,Automatic,Hatchback,1000,9390000,,
Toyota,Vitz,2018,2018,25000,1,white,Petrol,used,Automatic,Hatchback,1000,9390000,,
Toyota,Vitz,2015,2018,49000,1,Red,Petrol,used,Automatic,Hatchback,1000,7990000,,
Toyota,Vitz,2008,2011,113000,2,white,Petrol,used,Automatic,Hatchback,1000,5690000,,
Toyota,Camry,2002,2006,234000,3,Black,Petrol,used,Automatic,Saloon,1998,5450000,,
Toyota,Camry,2013,2016,89200,1,Red,Hybrid,used,Automatic,Saloon,2500,13850000,,
Toyota,Camry,2004,2006,303000,4,Gray,Petrol,used,Automatic,Saloon,2400,5900000,,
Toyota,Camry,2007,2007,102400,2,Black,Petrol,used,Automatic,Saloon,2300,7750000,,
Toyota,Camry,2008,2008,174000,3,Black,Petrol,used,Automatic,Saloon,2400,7650000,,
Toyota,Camry,2003,2004,187000,3,Brown,Petrol,used,Automatic,Saloon,3000,4600000,,
Toyota,Camry,2012,2013,62000,1,white,Petrol,used,Automatic,Saloon,2494,1200000,,
Toyota,Camry,2012,2012,63000,1,white,Petrol,used,Automatic,Saloon,2400,5650000,,
Toyota,Camry,2007,2007,120000,2,Brown,Petrol,used,Automatic,Saloon,2300,7950000,,
Toyota,Camry,2002,2003,252000,3,white,Petrol,used,Automatic,Saloon,2000,4500000,,
